From,To,Count
2077,6055,4
2077,6060,4
2077,6125,1
2077,6163,2
2077,6179,3
2077,6322,3
2077,6414,6
2077,6434,6
2078,794,3
2078,2765,3
2078,3054,3
2078,3073,3
2078,3751,3
2078,4793,3
2078,5417,3
2078,6174,3
2079,1710,3
2079,3015,3
2079,3429,3
2080,1014,2
2080,2335,2
2080,5731,2
2081,190,2
2081,1029,1
2081,5211,2
2081,5214,1
2082,867,7
2082,998,1
2082,1800,2
2082,3994,9
2082,4043,2
2082,4126,9
2082,4954,1
2082,5461,1
2082,5465,4
2082,5508,4
2082,5838,6
2082,5967,4
2082,6055,3
2083,1047,1
2083,1375,1
2083,1402,1
2083,2955,1
2083,3416,1
2083,3896,2
2083,4302,1
2083,5044,1
2083,5909,1
2084,293,4
2084,489,12
2084,753,2
2084,793,2
2084,1228,1
2084,1423,1
2084,1426,1
2084,1438,10
2084,1546,1
2084,2224,10
2084,2630,1
2084,2719,6
2084,3031,6
2084,3039,2
2084,3107,1
2084,3476,3
2084,3635,2
2084,3862,18
2084,3880,1
2084,4811,1
2084,4932,10
2084,5275,2
2084,5576,21
2085,5910,6
2086,1341,25
2087,2087,3
2087,2770,9
2087,6509,9
2088,321,1
2088,591,1
2088,1297,2
2088,1360,1
2088,1421,3
2088,1742,3
2088,2651,1
2088,3028,1
2088,3770,2
2088,4420,1
2088,6433,3
2089,470,1
2089,606,3
2089,633,2
2089,753,1
2089,1138,5
2089,1684,7
2089,1710,1
2089,1834,2
2089,1986,3
2089,2092,1
2089,2204,6
2089,2517,1
2089,2604,5
2089,2605,1
2089,2613,5
2089,2870,2
2089,2968,1
2089,2998,3
2089,3041,3
2089,3291,1
2089,3344,1
2089,3982,1
2089,4072,3
2089,4077,1
2089,4347,2
2089,4410,3
2089,4463,4
2089,4588,15
2089,5041,2
2089,5340,2
2089,5663,2
2089,5691,1
2089,5696,10
2089,5808,1
2089,5989,14
2089,6085,13
2089,6166,3
2089,6222,1
2089,6297,2
2089,6566,3
2090,159,6
2090,1374,8
2090,3495,2
2090,4147,2
2090,5826,3
2090,5832,2
2090,6371,2
2091,536,5
2091,1610,2
2091,2659,2
2091,3056,3
2091,3343,3
2091,5461,1
2091,6158,2
2092,3039,1
2092,3862,2
2092,5461,1
2093,536,33
2093,544,18
2093,648,2
2093,1017,3
2093,1652,3
2093,3058,1
2093,3270,1
2093,3306,4
2093,3343,62
2093,3454,2
2093,4072,6
2093,4434,2
2093,5085,6
2093,5132,3
2093,5426,7
2093,5567,6
2093,5692,10
2093,5855,6
2093,5861,3
2093,5939,4
2094,556,16
2094,2289,1
2094,2570,3
2094,2728,1
2094,3416,6
2094,5048,12
2094,5461,21
2094,5620,1
2094,5707,1
2094,6055,12
2095,2749,4
2096,103,6
2096,2319,2
2096,2719,2
2096,4600,4
2097,595,2
2097,3018,2
2098,36,2
2098,1742,4
2098,3083,1
2098,3144,4
2098,4090,4
2098,4106,1
2100,3180,51
2101,1870,5
2103,1926,2
2103,2198,2
2106,5284,6
2107,1742,2
2107,3003,13
2108,2600,6
2109,2650,11
2110,1454,2
2110,3039,2
2111,5125,5
2111,5910,5
2111,6443,5
2112,242,2
2112,633,1
2112,3387,2
2114,768,1
2114,775,2
2114,1483,1
2114,2192,8
2114,2553,10
2114,2774,2
2114,3449,2
2114,4382,2
2114,4431,4
2114,4954,2
2114,5125,2
2114,5164,2
2114,5213,2
2114,5276,8
2114,5318,2
2115,2761,3
2115,5461,3
2116,2749,1
2116,3416,1
2117,2117,2
2117,5508,10
2119,1847,2
2120,4685,1
2120,5029,1
2121,3039,3
2122,2574,1
2122,5041,1
2122,5691,2
2122,5696,1
2122,6085,1
2123,929,1
2123,2077,3
2123,3073,1
2123,3245,9
2123,3328,1
2123,5731,1
2123,5854,1
2123,6125,2
2124,5340,2
2124,5817,3
2125,750,2
2125,3343,3
2125,4029,2
2125,4043,2
2125,4126,2
2125,4304,2
2125,5508,4
2125,6306,3
2126,4176,2
2127,2127,3
2128,544,20
2128,779,3
2128,1341,1
2128,2077,1
2128,2345,1
2128,3078,2
2128,3830,1
2128,4394,3
2128,5275,3
2128,5314,1
2129,2407,1
2129,2734,1
2129,5445,1
2130,1010,1
2130,1026,2
2130,1330,16
2130,1374,8
2130,1444,1
2130,1580,4
2130,1694,1
2130,1785,2
2130,2876,1
2130,2959,4
2130,2974,13
2130,3028,11
2130,3035,3
2130,3205,2
2130,4429,20
2130,5213,16
2130,5250,1
2130,5317,4
2130,5479,8
2130,6149,5
2130,6484,2
2131,4034,15
2131,4076,6
2132,753,2
2132,2132,1
2132,2208,5
2132,2690,1
2132,2706,3
2132,2874,1
2132,6323,1
2133,2291,1
2133,2770,1
2133,3416,1
2133,4382,1
2134,529,1
2134,1384,1
2134,1463,3
2134,3066,1
2134,3416,1
2134,3469,1
2134,3496,1
2134,5186,1
2135,596,5
2135,3416,6
2135,5910,9
2137,243,3
2137,247,12
2137,982,3
2137,991,22
2137,1187,6
2137,1257,3
2137,1374,57
2137,1468,3
2137,2142,3
2137,2198,6
2137,2220,3
2137,2525,3
2137,3652,9
2137,3690,6
2137,4152,3
2137,4259,6
2137,4337,4
2137,4784,27
2137,5305,3
2137,5681,7
2137,5898,3
2137,5902,3
2138,533,1
2138,2291,2
2138,2749,1
2138,2774,12
2138,3061,1
2138,4431,8
2138,4850,6
2138,5508,4
2138,5772,2
2139,1085,10
2139,3725,1
2139,3862,2
2139,6048,1
2139,6520,11
2140,6055,4
2141,706,1
2141,1189,1
2141,1314,1
2141,1384,1
2141,3896,2
2141,4410,5
2141,5082,1
2141,5238,1
2141,5696,9
2141,5872,6
2141,5877,3
2141,6182,1
2142,159,3
2142,787,3
2142,1327,32
2142,1365,3
2142,1374,54
2142,1919,9
2142,2137,2
2142,2142,10
2142,2151,3
2142,2947,3
2142,3211,3
2142,3419,3
2142,4108,21
2142,5305,9
2142,6059,2
2143,2719,4
2143,3957,2
2145,409,2
2145,6055,2
2145,6453,2
2146,1374,3
2146,1801,3
2146,5075,3
2147,964,1
2147,3862,1
2147,4195,12
2147,5292,1
2147,5910,12
2148,595,3
2148,1106,14
2148,1108,3
2148,1367,9
2148,1454,13
2148,1710,1
2148,1851,6
2148,2229,1
2148,4122,1
2148,5338,3
2148,5340,1
2148,5564,1
2148,5817,7
2148,5910,7
2148,6289,3
2149,1314,1
2149,1384,2
2149,2149,1
2149,2823,1
2149,3066,1
2149,3444,1
2149,3896,2
2149,5081,1
2149,5696,1
2149,5714,1
2149,5877,2
2149,5909,1
2150,1014,4
2150,2734,1
2150,4072,2
2150,5222,13
2150,5461,13
2150,5731,1
2150,5989,6
2150,6055,2
2150,6221,3
2150,6504,13
2151,2142,3
2151,2478,2
2151,4108,3
2151,5461,3
2151,5560,3
2151,5576,1
2151,6271,3
2152,2802,2
2152,4166,2
2153,1820,1
2153,5340,11
2153,5868,1
2153,6289,1
2155,1384,3
2155,2512,1
2155,3496,4
2155,3774,4
2155,5696,3
2156,1026,3
2157,544,6
2158,3118,2
2158,6402,2
2159,544,6
2159,2345,1
2160,1390,1
2160,2719,2
2160,3819,80
2160,4360,1
2160,5268,1
2160,5827,6
2160,5910,110
2161,2998,4
2161,4043,4
2161,5213,4
2162,2291,3
2162,2517,1
2162,3416,3
2162,4049,9
2162,5193,7
2162,5461,4
2162,5908,1
2163,2291,6
2163,2749,3
2163,3416,3
2164,3496,4
2165,1384,2
2165,5079,1
2166,1195,4
2168,641,2
2169,1847,13
2170,544,1
2170,4082,4
2171,4211,3
2172,602,5
2172,609,9
2172,835,2
2172,1225,1
2172,1469,1
2172,1932,4
2172,2407,9
2172,2887,1
2172,3020,6
2172,3296,4
2172,3529,2
2172,3531,1
2172,3675,1
2172,3721,1
2172,4033,2
2172,4041,10
2172,5177,3
2172,5445,6
2172,5811,3
2172,6179,1
2172,6233,1
2172,6241,6
2172,6422,3
2174,3281,3
2174,6430,1
2175,2749,11
2175,3405,1
2175,3416,6
2176,1329,2
2176,1419,2
2176,2607,2
2177,882,2
2177,1741,2
2179,1867,1
2179,3444,4
2179,3711,3
2179,3747,5
2179,4464,1
2180,1138,2
2180,2870,2
2180,5989,6
2181,858,14
2181,1072,3
2181,1540,5
2181,1847,12
2181,2208,2
2181,2343,2
2181,2610,2
2181,3343,11
2181,3479,1
2181,3712,2
2181,3960,2
2181,3994,23
2181,5177,2
2181,5705,2
2181,6055,36
2181,6306,2
2181,6500,2
2183,3646,2
2183,5508,2
2184,2095,2
2185,2719,9
2186,1042,1
2186,1168,1
2186,1294,2
2186,1403,1
2186,1591,1
2186,1742,7
2186,2186,1
2186,2318,26
2186,2665,1
2186,2706,2
2186,2709,1
2186,2766,2
2186,2841,1
2186,3377,1
2186,3450,1
2186,3456,1
2186,3817,1
2186,3862,19
2186,4250,1
2186,4761,1
2186,4780,2
2186,5195,2
2186,5215,6
2186,5781,2
2186,6226,1
2186,6398,20
2186,6403,2
2186,6420,1
2186,6591,9
2187,1241,1
2187,2540,1
2187,3039,1
2187,3862,3
2187,6504,2
2188,159,3
2188,1137,3
2188,1374,3
2188,2137,3
2188,2667,3
2188,3245,1
2188,5417,1
2188,5576,4
2188,6404,4
2189,657,3
2189,2875,3
2189,2958,3
2189,4431,3
2189,5193,3
2189,5461,18
2189,5898,6
2189,5989,3
2189,6055,2
2190,544,12
2190,1150,9
2190,3171,9
2190,3454,17
2190,5355,15
2190,5586,2
2190,6414,3
2191,321,2
2191,590,3
2191,971,1
2191,1490,5
2191,1961,6
2191,2067,4
2191,2765,5
2191,2819,4
2191,3003,3
2191,3028,4
2191,3245,2
2191,3618,3
2192,123,1
2192,168,1
2192,2114,1
2192,2291,3
2192,2774,9
2192,3449,3
2192,3862,1
2192,4043,1
2192,4431,19
2192,4828,3
2192,5213,1
2192,5287,1
2192,5934,3
2192,5938,5
2192,6414,3
2192,6416,1
2193,1327,2
2193,5340,3
2194,1049,1
2194,2734,1
2194,3020,1
2194,4137,1
2194,4199,1
2194,4312,1
2194,4771,1
2194,5211,1
2194,5889,2
2195,735,4
2195,1280,3
2195,3608,65
2195,3860,6
2195,5353,6
2195,6199,3
2195,6530,27
2196,1558,4
2196,1697,4
2196,1931,2
2196,2276,4
2196,2692,2
2196,2719,1
2196,5982,3
2197,2037,4
2197,3001,6
2197,3127,3
2197,3257,1
2197,3416,6
2197,3862,4
2197,4382,1
2197,4431,9
2197,5340,1
2197,6295,1
2197,6504,1
2198,476,2
2198,997,3
2198,1327,8
2198,1773,3
2198,1934,6
2198,2132,3
2198,2765,3
2198,2943,5
2198,3028,9
2198,3186,3
2198,3211,2
2198,4015,3
2198,5290,9
2198,5317,4
2198,5419,2
2198,5479,5
2198,5576,3
2198,5681,2
2198,6101,5
2198,6404,3
2198,6529,3
2199,544,1
2199,1341,2
2199,2345,2
2199,3862,1
2199,5251,3
2200,794,3
2200,1822,1
2200,1991,3
2200,1999,3
2200,2744,3
2200,2867,3
2200,3028,3
2200,3862,2
2200,4338,3
2200,5892,3
2200,6048,1
2201,3416,6
2202,3416,1
2202,5098,3
2202,5193,3
2202,5222,5
2203,2749,5
2204,1591,4
2204,2204,3
2204,2309,7
2204,3262,19
2204,3392,14
2204,3481,5
2204,3646,1
2204,3795,2
2204,3994,17
2204,5465,18
2204,5838,8
2204,5967,15
2204,6055,30
2205,698,2
2205,3343,1
2205,3416,1
2205,5855,2
2206,754,3
2206,2206,2
2206,5283,9
2206,6239,10
2207,1026,3
2207,2207,1
2207,2771,1
2207,3608,2
2207,3647,1
2207,5361,1
2207,6252,2
2208,32,8
2208,37,44
2208,99,6
2208,169,10
2208,217,2
2208,243,3
2208,265,4
2208,301,8
2208,309,20
2208,320,4
2208,373,4
2208,382,8
2208,419,28
2208,422,6
2208,428,2
2208,475,2
2208,476,32
2208,483,8
2208,489,112
2208,519,5
2208,521,2
2208,523,3
2208,581,8
2208,612,9
2208,616,2
2208,642,6
2208,675,3
2208,688,6
2208,703,2
2208,710,1
2208,716,34
2208,729,1
2208,742,12
2208,748,26
2208,751,2
2208,753,14
2208,777,24
2208,797,69
2208,832,8
2208,840,12
2208,846,20
2208,850,1
2208,858,2
2208,873,2
2208,874,1
2208,997,4
2208,1010,2
2208,1026,2
2208,1031,64
2208,1042,30
2208,1048,10
2208,1051,1
2208,1072,2
2208,1092,2
2208,1138,18
2208,1171,16
2208,1187,2
2208,1241,19
2208,1291,1
2208,1320,108
2208,1327,18
2208,1391,12
2208,1398,18
2208,1428,24
2208,1430,1
2208,1444,22
2208,1453,13
2208,1463,2
2208,1487,4
2208,1502,4
2208,1519,1
2208,1540,60
2208,1560,2
2208,1605,4
2208,1617,1
2208,1632,2
2208,1647,6
2208,1680,1
2208,1684,2
2208,1710,14
2208,1742,2
2208,1746,4
2208,1773,4
2208,1798,6
2208,1815,3
2208,1834,2
2208,1847,8
2208,1857,15
2208,1877,8
2208,1926,192
2208,1930,12
2208,1942,4
2208,1994,22
2208,1995,8
2208,2084,3
2208,2132,2
2208,2198,4
2208,2208,50
2208,2248,2
2208,2275,28
2208,2281,6
2208,2350,1
2208,2359,12
2208,2368,20
2208,2379,4
2208,2431,17
2208,2525,4
2208,2550,2
2208,2560,14
2208,2579,22
2208,2601,47
2208,2608,6
2208,2614,2
2208,2618,2
2208,2634,2
2208,2650,2
2208,2653,8
2208,2696,2
2208,2706,16
2208,2724,4
2208,2766,6
2208,2835,2
2208,2837,6
2208,2874,3
2208,2890,12
2208,2943,33
2208,2951,2
2208,2974,3
2208,2985,8
2208,3015,4
2208,3025,4
2208,3026,9
2208,3031,12
2208,3032,1
2208,3034,16
2208,3075,1
2208,3113,4
2208,3135,2
2208,3174,2
2208,3184,22
2208,3192,2
2208,3205,12
2208,3258,3
2208,3261,2
2208,3306,1
2208,3335,2
2208,3347,65
2208,3372,12
2208,3386,1
2208,3401,26
2208,3403,8
2208,3414,4
2208,3474,2
2208,3475,2
2208,3476,26
2208,3479,2
2208,3510,6
2208,3574,4
2208,3644,8
2208,3652,8
2208,3712,5
2208,3734,8
2208,3752,2
2208,3784,12
2208,3788,5
2208,3797,2
2208,3798,46
2208,3855,3
2208,3856,3
2208,3930,2
2208,3987,2
2208,4015,4
2208,4017,74
2208,4039,2
2208,4048,106
2208,4072,4
2208,4077,147
2208,4094,13
2208,4124,4
2208,4126,1
2208,4139,2
2208,4145,38
2208,4165,8
2208,4188,2
2208,4202,4
2208,4205,3
2208,4212,14
2208,4288,1
2208,4309,4
2208,4330,24
2208,4371,2
2208,4404,3
2208,4441,6
2208,4520,2
2208,4604,2
2208,4619,15
2208,4628,7
2208,4655,10
2208,4665,2
2208,4694,5
2208,4746,3
2208,4758,2
2208,4780,4
2208,4787,44
2208,4800,6
2208,4806,2
2208,4812,2
2208,4831,4
2208,4844,42
2208,4845,10
2208,4847,35
2208,4912,14
2208,4917,2
2208,4961,9
2208,5037,8
2208,5043,23
2208,5050,5
2208,5061,13
2208,5071,2
2208,5074,2
2208,5120,12
2208,5156,2
2208,5176,8
2208,5195,2
2208,5213,6
2208,5300,6
2208,5303,4
2208,5317,16
2208,5325,2
2208,5350,10
2208,5353,1
2208,5357,2
2208,5361,4
2208,5364,6
2208,5409,16
2208,5419,33
2208,5425,9
2208,5428,5
2208,5441,20
2208,5479,4
2208,5507,4
2208,5508,2
2208,5561,1
2208,5570,15
2208,5575,6
2208,5639,5
2208,5656,2
2208,5732,28
2208,5780,6
2208,5792,1
2208,5803,2
2208,5804,6
2208,5808,22
2208,5836,76
2208,5838,1
2208,5845,1
2208,5871,37
2208,5891,14
2208,5893,16
2208,5905,3
2208,5939,12
2208,5970,7
2208,5989,44
2208,5999,6
2208,6004,4
2208,6055,2
2208,6059,2
2208,6074,12
2208,6085,4
2208,6087,4
2208,6101,4
2208,6103,3
2208,6147,10
2208,6256,6
2208,6270,2
2208,6306,8
2208,6311,6
2208,6326,4
2208,6345,36
2208,6557,6
2209,1922,1
2209,2209,3
2209,3245,2
2209,3979,3
2209,4013,4
2209,5419,2
2209,5905,4
2209,5925,3
2209,6414,3
2209,6593,3
2210,3107,3
2210,4413,1
2211,1424,5
2211,3039,1
2211,3862,1
2211,5214,3
2211,5361,5
2211,5886,5
2211,5910,6
2212,343,2
2212,1742,22
2212,2187,2
2212,2292,2
2212,3416,1
2212,3717,2
2212,4833,4
2212,5146,4
2213,489,1
2213,1026,2
2213,1567,1
2213,2213,1
2213,3078,1
2213,3107,2
2214,706,4
2214,2214,2
2214,2355,2
2214,3009,1
2214,3496,1
2214,3896,4
2214,4302,3
2214,4377,1
2214,5041,2
2214,5696,5
2214,5877,1
2214,6385,1
2215,2444,2
2215,2585,2
2215,2597,2
2216,5109,3
2217,1106,24
2217,2706,24
2217,3999,24
2218,188,2
2218,1745,7
2218,2218,7
2218,2746,1
2218,3362,2
2218,4136,9
2218,4234,4
2218,4975,35
2218,5109,17
2218,5293,1
2218,6179,12
2219,2692,11
2219,4060,9
2219,4509,2
2220,1257,42
2220,2220,3
2220,4477,9
2220,6201,6
2221,2719,2
2221,4416,2
2221,5910,2
2222,2512,3
2222,6593,1
2223,1648,2
2223,1760,2
2223,2208,5
2223,2345,3
2223,2692,4
2223,3343,3
2223,3456,2
2223,3658,1
2223,4054,2
2223,4176,1
2223,4420,3
2223,5214,2
2223,5508,5
2224,1419,3
2224,1773,3
2224,2607,3
2224,3416,3
2224,3635,2
2225,168,9
2225,1432,1
2225,1789,2
2225,3223,2
2225,4072,64
2226,2974,4
2227,3712,4
2227,4072,3
2227,4375,2
2227,4441,1
2227,5211,2
2227,6055,10
2228,4872,2
2228,6414,4
2229,533,9
2229,1106,12
2229,1419,7
2229,1454,9
2229,1865,1
2229,2291,1
2229,3821,2
2229,4036,1
2229,4195,4
2229,4382,9
2229,4938,1
2229,5098,6
2229,5222,6
2229,5910,42
2229,6179,7
2229,6504,6
2230,620,6
2230,1108,1
2230,1430,3
2230,1671,1
2230,1710,1
2230,1925,2
2230,2162,1
2230,2230,6
2230,2588,2
2230,3001,1
2230,3059,1
2230,3257,1
2230,3444,3
2230,3774,3
2230,3862,9
2230,3999,1
2230,4431,9
2230,5164,1
2230,5340,2
2230,5696,4
2230,5817,2
2230,5908,1
2230,6289,1
2231,171,323
2231,178,120
2231,180,227
2231,205,5
2231,223,202
2231,240,5
2231,253,5
2231,264,8
2231,303,12
2231,365,2
2231,583,2
2231,726,5
2231,855,3
2231,1101,4
2231,1329,8
2231,1347,113
2231,1419,2
2231,1657,4
2231,1665,2
2231,1669,5
2231,1843,2
2231,1938,8
2231,2231,11
2231,2291,2
2231,2325,2
2231,2350,4
2231,2553,20
2231,2572,36
2231,2601,24
2231,2626,6
2231,2719,93
2231,2733,1
2231,2749,6
2231,2768,2
2231,2968,12
2231,3061,6
2231,3118,129
2231,3257,8
2231,3391,6
2231,3405,2
2231,3442,2
2231,3466,1
2231,3627,1
2231,3757,3
2231,3759,4
2231,3806,7
2231,3952,3
2231,4056,20
2231,4060,40
2231,4116,8
2231,4150,2
2231,4195,24
2231,4304,6
2231,4441,2
2231,4587,4
2231,4774,6
2231,4840,21
2231,5095,8
2231,5214,89
2231,5268,4
2231,5287,5
2231,5293,6
2231,5298,6
2231,5485,12
2231,5513,11
2231,5554,4
2231,5583,2
2231,5619,2
2231,5800,5
2231,5886,4
2231,5910,30
2231,5947,20
2231,5982,17
2231,6179,2
2231,6243,4
2231,6244,4
2232,3107,1
2232,3416,1
2232,5286,2
2234,1108,2
2234,2234,4
2234,2235,35
2234,2417,1
2234,5696,4
2234,5817,9
2234,6555,26
2235,2234,3
2236,2692,4
2238,536,6
2238,917,6
2238,3343,9
2239,696,3
2241,606,21
2241,633,16
2241,1710,20
2241,2241,3
2241,2303,8
2241,2719,6
2241,3131,7
2241,3344,15
2241,3444,9
2241,3496,36
2241,3686,2
2241,3774,30
2241,3851,10
2241,3896,7
2241,4128,2
2241,4390,15
2241,4587,12
2241,5303,56
2241,5908,85
2241,5989,3
2241,6085,46
2241,6210,5
2241,6275,2
2242,446,1
2242,706,5
2242,3009,5
2242,3896,5
2243,180,8
2244,5477,4
2246,720,3
2246,1026,2
2246,4132,6
2246,6147,1
2247,168,35
2247,4884,35
2247,5350,35
2248,785,1
2248,2208,2
2248,2343,1
2248,2607,1
2248,5122,1
2248,5214,1
2248,5562,1
2249,1295,6
2249,2968,6
2249,5910,16
2250,2749,6
2251,6137,2
2252,3031,6
2253,1357,2
2253,2192,2
2253,4181,2
2254,5254,1
2254,5403,1
2255,2972,1
2255,3039,3
2255,5151,1
2255,5214,2
2255,5619,1
2256,153,1
2256,3994,5
2256,4852,2
2256,5508,1
2256,5838,1
2256,5967,1
2256,6386,2
2257,291,4
2257,303,6
2257,533,7
2257,3551,2
2257,4126,4
2257,5086,2
2257,5193,7
2257,5356,1
2257,5508,8
2258,895,1
2258,2512,1
2258,2972,1
2258,3039,6
2258,4743,1
2258,5408,1
2259,2706,1
2259,3039,4
2261,1021,3
2261,1324,1
2262,266,6
2262,552,1
2262,602,14
2262,609,28
2262,835,6
2262,1023,1
2262,1041,7
2262,1049,1
2262,1225,4
2262,1248,4
2262,1459,4
2262,1469,4
2262,1588,1
2262,1595,3
2262,1932,6
2262,1954,1
2262,2172,7
2262,2262,4
2262,2293,11
2262,2365,1
2262,2407,4
2262,2746,4
2262,2772,3
2262,2834,1
2262,2887,1
2262,2957,3
2262,3103,1
2262,3296,3
2262,3316,10
2262,3318,1
2262,3507,2
2262,3529,2
2262,3583,2
2262,3675,6
2262,3786,2
2262,3901,11
2262,4033,3
2262,4041,12
2262,4172,4
2262,4496,1
2262,4943,2
2262,5284,3
2262,5445,3
2262,5616,1
2262,5815,4
2262,5915,4
2262,5921,2
2262,6179,5
2262,6233,4
2262,6241,13
2262,6422,1
2263,1341,1
2263,4670,1
2263,5157,1
2263,6414,3
2264,3416,2
2265,291,2
2265,345,2
2265,961,4
2265,2265,2
2265,3550,2
2265,4043,4
2265,4072,8
2265,4382,4
2265,4390,6
2265,5191,3
2265,5461,18
2265,5508,2
2265,6356,3
2266,2266,12
2266,2692,16
2266,2719,20
2266,4840,2
2266,6179,2
2266,6510,16
2267,356,2
2267,626,3
2267,1925,3
2267,3281,3
2267,3892,3
2267,5725,8
2267,5925,6
2267,6060,9
2267,6063,4
2267,6271,3
2267,6414,54
2267,6430,3
2268,780,2
2268,1021,1
2268,1327,20
2268,2186,1
2268,3817,2
2268,4108,1
2268,4791,2
2269,544,3
2269,5461,7
2269,5567,3
2271,329,6
2271,3296,9
2272,2569,1
2272,4054,2
2272,5340,5
2273,2345,15
2273,2497,3
2274,2719,2
2274,6321,2
2275,382,2
2275,476,2
2275,753,2
2275,1327,2
2275,1926,8
2275,2142,2
2275,2208,32
2275,3414,2
2275,3690,2
2275,4655,2
2275,5350,2
2275,5893,6
2276,2719,2
2276,5354,2
2277,692,1
2277,1026,1
2277,1392,4
2277,1566,2
2277,1961,12
2277,2277,1
2277,2765,3
2277,3028,12
2277,3245,18
2277,3717,1
2277,4942,4
2277,5577,3
2277,5731,1
2277,6529,3
2278,3107,17
2279,321,1
2279,626,1
2280,1134,1
2280,1195,3
2281,729,3
2281,899,4
2281,1024,10
2281,1138,6
2281,1567,6
2281,1591,3
2281,1602,6
2281,1847,10
2281,1929,3
2281,2208,8
2281,2213,1
2281,3078,10
2281,3107,1
2281,3343,2
2281,3443,1
2281,3579,1
2281,3613,10
2281,3994,1
2281,4043,4
2281,4072,33
2281,4126,6
2281,4334,2
2281,4912,7
2281,5375,2
2281,5508,24
2281,5661,4
2281,6055,42
2281,6059,2
2281,6386,2
2282,536,12
2282,2394,3
2282,3306,4
2282,3343,68
2283,6055,4
2284,3107,10
2285,2142,3
2285,3031,1
2285,4108,8
2286,1919,3
2286,2890,3
2287,1696,6
2287,4837,6
2287,4915,6
2287,5214,7
2289,310,1
2289,321,39
2289,563,6
2289,650,4
2289,654,1
2289,700,5
2289,714,4
2289,1015,1
2289,1431,1
2289,1938,1
2289,2012,1
2289,2289,5
2289,2291,18
2289,2372,1
2289,2665,4
2289,2749,1
2289,2770,5
2289,2812,1
2289,2877,1
2289,3003,1
2289,3039,5
2289,3061,1
2289,3242,1
2289,3416,14
2289,3433,2
2289,3451,1
2289,3717,1
2289,3862,26
2289,3890,1
2289,3903,1
2289,4036,2
2289,4039,2
2289,4043,4
2289,4061,8
2289,4072,2
2289,4093,2
2289,4320,1
2289,4431,4
2289,5098,1
2289,5165,5
2289,5222,1
2289,5370,1
2289,5461,55
2289,5529,1
2289,5846,3
2289,6092,4
2289,6161,6
2289,6184,1
2289,6203,2
2289,6370,1
2290,1150,1
2290,3036,8
2290,3471,1
2291,321,12
2291,488,3
2291,530,19
2291,608,5
2291,654,1
2291,700,8
2291,701,4
2291,1040,6
2291,1073,6
2291,1106,1
2291,1350,5
2291,1419,9
2291,1426,10
2291,1454,3
2291,1692,3
2291,1938,8
2291,2049,3
2291,2138,3
2291,2192,3
2291,2289,10
2291,2294,1
2291,2361,1
2291,2438,4
2291,2561,1
2291,2660,8
2291,2749,1
2291,2770,3
2291,2774,13
2291,2793,14
2291,2877,13
2291,2890,2
2291,3003,12
2291,3039,44
2291,3061,27
2291,3416,1
2291,3440,1
2291,3442,4
2291,3818,2
2291,3837,1
2291,3862,19
2291,4036,24
2291,4049,1
2291,4058,2
2291,4060,4
2291,4140,1
2291,4191,1
2291,4304,3
2291,4342,1
2291,4393,24
2291,4431,3
2291,4625,3
2291,4803,4
2291,4824,6
2291,4850,3
2291,4938,1
2291,5125,1
2291,5193,1
2291,5206,6
2291,5213,6
2291,5222,7
2291,5380,6
2291,5461,1
2291,5514,1
2291,5576,3
2291,5586,9
2291,5720,6
2291,5851,6
2291,5934,7
2291,5938,3
2291,6036,6
2291,6179,4
2291,6246,2
2291,6414,3
2291,6593,6
2292,321,1
2292,534,4
2292,753,1
2292,1413,1
2292,2200,1
2292,2890,1
2292,3120,1
2292,3610,4
2292,3862,4
2292,4072,3
2292,5215,1
2292,6504,1
2293,266,3
2293,602,6
2293,609,6
2293,1023,3
2293,1588,1
2293,2719,2
2293,3039,3
2293,3721,2
2293,4033,1
2293,4172,3
2293,4442,3
2293,5344,2
2293,5501,1
2293,5603,1
2293,5815,1
2293,5910,5
2293,6179,1
2293,6185,3
2294,544,5
2294,2291,1
2294,2877,3
2294,2979,4
2294,3107,2
2294,3454,2
2294,3949,3
2294,4758,1
2294,4851,3
2294,5461,2
2294,6414,6
2295,954,1
2295,3107,9
2296,696,1
2296,3896,1
2296,6385,1
2297,2267,3
2298,1374,3
2298,2423,3
2298,3783,3
2298,4784,3
2298,5250,3
2299,1327,13
2299,1419,5
2299,1430,3
2299,1736,6
2299,1773,2
2299,2607,3
2299,2766,13
2299,3306,8
2299,3343,108
2299,3456,2
2299,3635,5
2299,4149,9
2299,4188,6
2299,4501,6
2299,4821,3
2299,5215,3
2299,5461,6
2299,5508,4
2299,5518,6
2299,6283,3
2299,6434,9
2300,2289,1
2300,2706,1
2300,3433,1
2300,5340,5
2300,5461,1
2300,5910,6
2300,6504,2
2301,1961,3
2301,5989,3
2302,1392,3
2302,2881,6
2302,3245,3
2302,4942,3
2303,371,1
2303,606,14
2303,977,1
2303,1375,1
2303,1402,1
2303,1710,1
2303,2241,1
2303,3344,1
2303,3496,4
2303,3982,4
2303,4823,1
2303,5340,1
2303,5908,4
2304,691,1
2304,1513,1
2304,1933,1
2304,2663,16
2304,2974,74
2304,5046,26
2304,5573,1
2305,917,4
2305,2305,2
2305,2501,2
2305,2543,3
2305,3343,7
2305,5861,3
2306,2306,3
2306,3496,4
2306,3685,1
2306,5725,1
2307,5340,13
2308,1066,3
2309,6055,9
2310,3028,7
2311,309,2
2312,6085,2
2312,6289,3
2313,3895,3
2313,4852,3
2314,5568,2
