From,To,Count
168,1327,1
168,1358,1
168,1390,4
168,1426,2
168,1449,2
168,1669,2
168,1772,2
168,1847,4
168,2082,1
168,2225,9
168,2291,1
168,2347,13
168,2597,13
168,2622,2
168,2766,7
168,2774,13
168,2775,2
168,3001,4
168,3058,2
168,3068,2
168,3075,12
168,3123,2
168,3133,2
168,3192,1
168,3223,2
168,3843,1
168,3856,2
168,3960,7
168,3994,7
168,4027,1
168,4036,15
168,4039,2
168,4043,30
168,4072,73
168,4126,2
168,4194,9
168,4347,4
168,4382,5
168,4389,3
168,4431,18
168,4526,3
168,4684,1
168,4693,3
168,4855,1
168,4912,6
168,5213,16
168,5276,2
168,5287,5
168,5461,3
168,5508,56
168,5656,3
168,5660,2
168,5688,12
168,5692,2
168,5838,1
168,5967,8
168,5984,2
168,6055,25
168,6059,2
168,6118,4
168,6253,1
168,6306,10
168,6414,3
168,6465,8
168,6531,1
169,369,1
169,2208,13
170,544,5
170,2159,1
170,3908,2
170,5761,2
171,171,25
171,472,5
171,548,11
171,602,3
171,609,4
171,785,1
171,835,3
171,1023,6
171,1041,7
171,1049,1
171,1069,2
171,1072,15
171,1086,7
171,1313,1
171,1398,1
171,1404,13
171,1455,1
171,1469,1
171,1588,9
171,1665,7
171,1703,2
171,1745,8
171,2218,5
171,2231,14
171,2271,7
171,2350,6
171,2424,2
171,2572,46
171,2601,7
171,2719,161
171,2746,12
171,2748,2
171,2766,2
171,2803,27
171,2871,4
171,2968,15
171,3002,6
171,3045,4
171,3103,2
171,3118,7
171,3214,4
171,3257,5
171,3362,2
171,3507,3
171,3757,2
171,3759,2
171,3797,3
171,3902,4
171,4032,7
171,4033,2
171,4034,1
171,4060,8
171,4136,23
171,4310,10
171,4362,8
171,4442,20
171,4509,2
171,4840,31
171,4941,2
171,5095,106
171,5107,2
171,5109,4
171,5213,2
171,5214,41
171,5284,87
171,5292,1
171,5293,6
171,5445,1
171,5485,8
171,5513,13
171,5603,26
171,5635,2
171,5859,2
171,5861,1
171,5870,11
171,5899,24
171,5910,33
171,5966,6
171,5980,1
171,5982,80
171,6179,83
171,6185,6
171,6241,82
171,6243,2
171,6293,13
171,6351,1
172,1698,2
172,5213,4
172,5508,6
173,173,3
173,1313,3
173,3261,3
173,3343,5
